department_id,department_name,manager_id,office_location,created_date,salary_date,budget,email,phone
1,Dept_1,135,Chennai,2010-01-01,2025-03-01,178623.0,dept1@company.com,9767000000
2,Dept_2,179,,2010-03-22,2025-04-10,465321.0,dept2@company.com,
3,Dept_3,42,Bangalore,2010-06-10,2025-05-20,962061.0,dept3@company.com,
4,Dept_4,192,,2010-08-29,2025-06-29,283675.0,dept4@company.com,9767000000
5,Dept_5,15,Hyderabad,2010-11-17,2025-08-08,837334.0,dept5@company.com,
6,Dept_6,111,,2011-02-05,2025-09-17,730235.0,dept6@company.com,9876543210
7,Dept_7,157,Delhi,2011-04-26,2025-10-27,912831.0,,9767000000
8,Dept_8,33,Hyderabad,2011-07-15,2025-12-06,752465.0,dept8@company.com,
9,Dept_9,155,Delhi,2011-10-03,2026-01-15,316454.0,dept9@company.com,9767000000
10,Dept_10,164,Mumbai,2011-12-22,2026-02-24,209575.0,dept10@company.com,9933445566
11,Dept_11,157,Kolkata,2012-03-11,2026-04-05,997336.0,dept11@company.com,9820000000
12,Dept_12,38,Delhi,2012-05-30,2026-05-15,307606.0,dept12@company.com,9767000000
13,Dept_13,185,Hyderabad,2012-08-18,2026-06-24,605815.0,dept13@company.com,9820000000
14,Dept_14,97,Mumbai,2012-11-06,2026-08-03,392822.0,dept14@company.com,
15,Dept_15,155,Delhi,2013-01-25,2026-09-12,176218.0,dept15@company.com,9820000000
16,Dept_16,183,Bangalore,2013-04-15,2026-10-22,687518.0,dept16@company.com,9767000000
17,Dept_17,33,,2013-07-04,2026-12-01,870044.0,dept17@company.com,9933445566
18,Dept_18,196,Kolkata,2013-09-22,2027-01-10,436199.0,dept18@company.com,
19,Dept_19,86,Delhi,2013-12-11,2027-02-19,549589.0,dept19@company.com,9767000000
20,Dept_20,66,Mumbai,2014-03-01,2027-03-31,786840.0,dept20@company.com,
21,Dept_21,10,Bangalore,2014-05-20,2027-05-10,578446.0,dept21@company.com,9876543210
22,Dept_22,5,Chennai,2014-08-08,2027-06-19,562052.0,dept22@company.com,9820000000
23,Dept_23,123,Mumbai,2014-10-27,2027-07-29,434402.0,dept23@company.com,9876543210
24,Dept_24,74,,2015-01-15,2027-09-07,139986.0,dept24@company.com,9767000000
25,Dept_25,97,Mumbai,2015-04-05,2027-10-17,779520.0,dept25@company.com,9933445566
26,Dept_26,118,Bangalore,2015-06-24,2027-11-26,447739.0,dept26@company.com,
27,Dept_27,38,Mumbai,2015-09-12,2028-01-05,725646.0,,9820000000
28,Dept_28,141,Bangalore,2015-12-01,2028-02-14,,dept28@company.com,
29,Dept_29,159,Delhi,2016-02-19,2028-03-25,427073.0,dept29@company.com,9767000000
30,Dept_30,47,Bangalore,2016-05-09,2028-05-04,697794.0,dept30@company.com,
31,Dept_31,109,Bangalore,2016-07-28,2028-06-13,134911.0,dept31@company.com,9820000000
32,Dept_32,180,Kolkata,2016-10-16,2028-07-23,973559.0,dept32@company.com,9767000000
33,Dept_33,184,Bangalore,2017-01-04,2028-09-01,525037.0,dept33@company.com,
34,Dept_34,15,Bangalore,2017-03-25,2028-10-11,830399.0,dept34@company.com,9933445566
35,Dept_35,157,Chennai,2017-06-13,2028-11-20,999885.0,dept35@company.com,9767000000
36,Dept_36,136,Delhi,2017-09-01,2028-12-30,,dept36@company.com,9767000000
37,Dept_37,5,,2017-11-20,2029-02-08,112175.0,dept37@company.com,9933445566
38,Dept_38,157,Kolkata,2018-02-08,2029-03-20,416915.0,dept38@company.com,9876543210
39,Dept_39,47,Chennai,2018-04-29,2029-04-29,599876.0,dept39@company.com,9820000000
40,Dept_40,68,Hyderabad,2018-07-18,2029-06-08,745588.0,dept40@company.com,9876543210
41,Dept_41,76,Delhi,2018-10-06,2029-07-18,711213.0,dept41@company.com,
42,Dept_42,173,Delhi,2018-12-25,2029-08-27,868734.0,dept42@company.com,9933445566
43,Dept_43,130,Hyderabad,2019-03-15,2029-10-06,166358.0,dept43@company.com,9876543210
44,Dept_44,155,,2019-06-03,2029-11-15,510543.0,dept44@company.com,9767000000
45,Dept_45,95,Bangalore,2019-08-22,2029-12-25,147057.0,dept45@company.com,
46,Dept_46,115,Chennai,2019-11-10,2030-02-03,368294.0,dept46@company.com,
47,Dept_47,164,Mumbai,2020-01-29,2030-03-15,890857.0,dept47@company.com,9876543210
48,Dept_48,36,Kolkata,2020-04-18,2030-04-24,354726.0,dept48@company.com,9876543210
49,Dept_49,26,Mumbai,2020-07-07,2030-06-03,378176.0,dept49@company.com,9933445566
50,Dept_50,43,Hyderabad,2020-09-25,2030-07-13,626486.0,dept50@company.com,9820000000
51,Dept_51,27,Delhi,2020-12-14,2030-08-22,,dept51@company.com,9876543210
52,Dept_52,69,,2021-03-04,2030-10-01,267292.0,dept52@company.com,9876543210
53,Dept_53,148,Delhi,2021-05-23,2030-11-10,244931.0,dept53@company.com,9767000000
54,Dept_54,11,Kolkata,2021-08-11,2030-12-20,543676.0,dept54@company.com,
55,Dept_55,74,Delhi,2021-10-30,2031-01-29,262491.0,dept55@company.com,9820000000
56,Dept_56,104,Delhi,2022-01-18,2031-03-10,481009.0,dept56@company.com,9767000000
57,Dept_57,38,Kolkata,2022-04-08,2031-04-19,501921.0,dept57@company.com,9933445566
58,Dept_58,134,Chennai,2022-06-27,2031-05-29,360910.0,dept58@company.com,9933445566
59,Dept_59,23,Chennai,2022-09-15,2031-07-08,123236.0,dept59@company.com,9876543210
60,Dept_60,47,Kolkata,2022-12-04,2031-08-17,187955.0,dept60@company.com,9876543210
61,Dept_61,90,,2023-02-22,2031-09-26,840874.0,dept61@company.com,9933445566
62,Dept_62,46,Hyderabad,2023-05-13,2031-11-05,727433.0,dept62@company.com,9876543210
63,Dept_63,107,Delhi,2023-08-01,2031-12-15,770718.0,dept63@company.com,9820000000
64,Dept_64,140,,2023-10-20,2032-01-24,,dept64@company.com,9876543210
65,Dept_65,141,Delhi,2024-01-08,2032-03-04,194914.0,dept65@company.com,
66,Dept_66,104,Hyderabad,2024-03-28,2032-04-13,989302.0,dept66@company.com,9876543210
67,Dept_67,190,Chennai,2024-06-16,2032-05-23,307990.0,,9767000000
68,Dept_68,111,,2024-09-04,2032-07-02,478387.0,dept68@company.com,9820000000
69,Dept_69,104,Bangalore,2024-11-23,2032-08-11,638884.0,dept69@company.com,9767000000
70,Dept_70,60,Bangalore,2025-02-11,2032-09-20,756639.0,dept70@company.com,9767000000
71,Dept_71,171,Bangalore,2025-05-02,2032-10-30,294269.0,dept71@company.com,
72,Dept_72,100,Chennai,2025-07-21,2032-12-09,997928.0,dept72@company.com,9820000000
73,Dept_73,68,Chennai,2025-10-09,2033-01-18,492417.0,dept73@company.com,9820000000
74,Dept_74,133,Hyderabad,2025-12-28,2033-02-27,238155.0,,9820000000
75,Dept_75,120,Delhi,2026-03-18,2033-04-08,220674.0,dept75@company.com,9820000000
76,Dept_76,37,Hyderabad,2026-06-06,2033-05-18,881817.0,dept76@company.com,9820000000
77,Dept_77,72,Hyderabad,2026-08-25,2033-06-27,864757.0,dept77@company.com,
78,Dept_78,127,Chennai,2026-11-13,2033-08-06,356713.0,dept78@company.com,9876543210
79,Dept_79,106,Bangalore,2027-02-01,2033-09-15,541501.0,dept79@company.com,9767000000
80,Dept_80,92,Mumbai,2027-04-22,2033-10-25,643351.0,dept80@company.com,9820000000
81,Dept_81,31,Delhi,2027-07-11,2033-12-04,167642.0,dept81@company.com,9876543210
82,Dept_82,122,Chennai,2027-09-29,2034-01-13,190093.0,dept82@company.com,9876543210
83,Dept_83,137,Bangalore,2027-12-18,2034-02-22,607606.0,dept83@company.com,9767000000
84,Dept_84,51,,2028-03-07,2034-04-03,317215.0,dept84@company.com,
85,Dept_85,29,Mumbai,2028-05-26,2034-05-13,807280.0,dept85@company.com,9933445566
86,Dept_86,40,Mumbai,2028-08-14,2034-06-22,783889.0,,9933445566
87,Dept_87,41,Chennai,2028-11-02,2034-08-01,135954.0,dept87@company.com,9876543210
88,Dept_88,11,Kolkata,2029-01-21,2034-09-10,127856.0,dept88@company.com,9767000000
89,Dept_89,151,Delhi,2029-04-11,2034-10-20,626861.0,dept89@company.com,9933445566
90,Dept_90,1,Mumbai,2029-06-30,2034-11-29,659655.0,dept90@company.com,9876543210
91,Dept_91,46,Chennai,2029-09-18,2035-01-08,595553.0,dept91@company.com,
92,Dept_92,101,Chennai,2029-12-07,2035-02-17,862092.0,dept92@company.com,9933445566
93,Dept_93,149,Bangalore,2030-02-25,2035-03-29,986040.0,dept93@company.com,9876543210
94,Dept_94,90,,2030-05-16,2035-05-08,,dept94@company.com,9876543210
95,Dept_95,110,Kolkata,2030-08-04,2035-06-17,123752.0,dept95@company.com,9820000000
96,Dept_96,164,Delhi,2030-10-23,2035-07-27,941461.0,dept96@company.com,
97,Dept_97,182,Hyderabad,2031-01-11,2035-09-05,248757.0,dept97@company.com,9820000000
98,Dept_98,57,,2031-04-01,2035-10-15,413837.0,dept98@company.com,9767000000
99,Dept_99,1,,2031-06-20,2035-11-24,216739.0,dept99@company.com,9820000000
100,Dept_100,63,Bangalore,2031-09-08,2036-01-03,942393.0,dept100@company.com,9820000000
84,Dept_84,51,,2028-03-07,2034-04-03,317215.0,dept84@company.com,
31,Dept_31,109,Bangalore,2016-07-28,2028-06-13,134911.0,dept31@company.com,9820000000
57,Dept_57,38,Kolkata,2022-04-08,2031-04-19,501921.0,dept57@company.com,9933445566
25,Dept_25,97,Mumbai,2015-04-05,2027-10-17,779520.0,dept25@company.com,9933445566
17,Dept_17,33,,2013-07-04,2026-12-01,870044.0,dept17@company.com,9933445566
